key,message,comment,context
"value:Trámite de Justificación de falta del profesorado","Trámite de Justificación de falta del profesorado","",""
"value:Trámite de prueba","Trámite de prueba","",""
"value:Renuncia a la convocatoria","Renuncia a la convocatoria","",""
"value:Firmar actas","Firmar actas","",""
"value:Amonestación leve","Amonestación leve","",""
"value:Autorización para la recogida del título por tercera persona","Autorización para la recogida del título por tercera persona","",""
"value:Justificación de falta del profesorado","Justificación de falta del profesorado","",""
"value:Certificado Tutor","Certificado Tutor","",""
